City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Eyl,SO,75.24,few clouds,7.9803,49.8164,Amiin Hotel
2,Rikitea,PF,78.42,overcast clouds,-23.1203,-134.9692,Pension Maro'i
6,Banda Aceh,ID,85.19,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
7,Hithadhoo,MV,81.61,scattered clouds,-0.6,73.0833,Scoop Guest House
8,Akyab,MM,74.55,clear sky,20.15,92.9,Hotel Memory
15,Hilo,US,75.2,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Pouebo,NC,82.45,scattered clouds,-20.4,164.5667,
18,Kavieng,PG,84.99,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
19,Sao Joao Do Piaui,BR,73.27,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
20,Mataura,NZ,77.86,few clouds,-46.1927,168.8643,Ellie's Villa
24,East London,ZA,66.2,few clouds,-33.0153,27.9116,Tu Casa
27,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
28,Guanica,PR,72.0,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
29,Atuona,PF,79.83,overcast clouds,-9.8,-139.0333,Villa Enata
35,Benguela,AO,72.41,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
38,Tuatapere,NZ,67.32,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
42,Port Alfred,ZA,68.0,scattered clouds,-33.5906,26.891,The Halyards Hotel
44,Basoko,CD,70.66,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
46,Cap Malheureux,MU,80.01,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
50,Geraldton,AU,71.6,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
53,Hobart,AU,69.01,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
54,Alice Springs,AU,91.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
56,New Norfolk,AU,69.01,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
59,Mouila,GA,73.29,broken clouds,-1.8685,11.0559,Hôtel du Lac Bleu
63,Hermanus,ZA,66.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
64,Mucurapo,TT,77.0,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
68,Cape Town,ZA,69.01,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
71,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
74,Arraial Do Cabo,BR,74.88,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
75,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
76,Santa Cruz,BO,75.2,clear sky,-17.8,-63.1667,Hotel Cortez
77,Kapaa,US,71.6,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
80,Padang,ID,87.8,few clouds,-0.9492,100.3543,Mercure Padang
81,Gandajika,CD,67.08,overcast clouds,-6.75,23.95,
82,Naze,JP,68.0,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
85,Manika,PH,77.34,overcast clouds,11.388,122.2793,
86,Saldanha,ZA,66.2,clear sky,-33.0117,17.9442,Blue Bay Lodge
88,Cockburn Town,TC,77.31,clear sky,21.4612,-71.1419,Osprey Beach Hotel
92,Barahona,DO,75.13,few clouds,18.2085,-71.1008,Hotel Caribe
94,Carnarvon,AU,86.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
95,Butaritari,KI,80.92,broken clouds,3.0707,172.7902,Isles Sunset Lodge
102,Ibotirama,BR,71.37,light rain,-12.1853,-43.2206,Serra do Rio Hotel
103,Vao,NC,78.55,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
104,Isangel,VU,87.8,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
106,Itanhem,BR,75.29,moderate rain,-17.1664,-40.33,Hotel Resende
111,Sao Filipe,CV,69.08,few clouds,14.8961,-24.4956,Tortuga B&B
112,Santa Marta,CO,84.2,few clouds,11.2408,-74.199,Hotel La Ballena Azul
114,Cabo San Lucas,MX,66.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
115,Kavaratti,IN,81.46,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
118,Yurimaguas,PE,74.89,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
120,Kaitangata,NZ,66.0,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
123,Wanaka,NZ,79.07,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
126,Nokaneng,BW,67.96,light rain,-19.6667,22.2667,
129,Gondanglegi,ID,83.95,scattered clouds,-7.7479,112.0132,Gg. Munasir Homestay
130,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
134,Hervey Bay,AU,91.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
135,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
139,Alofi,NU,84.2,light rain,-19.0595,-169.9187,Taloa Heights
141,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
142,Cilegon,ID,80.6,broken clouds,-6.0174,106.0538,Forbis Hotel
143,Port-Gentil,GA,81.36,overcast clouds,-0.7193,8.7815,Fengshui Residence
148,Ilhabela,BR,70.88,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
150,Vera Cruz,BR,68.0,overcast clouds,-12.6333,-41.0333,
153,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
157,Port Elizabeth,ZA,68.0,clear sky,-33.918,25.5701,39 On Nile Guest House
159,Kahului,US,75.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
160,Namatanai,PG,85.6,broken clouds,-3.6667,152.4333,Namatanai Hotel
161,Rosetta,EG,66.2,clear sky,31.4044,30.4164,Green Valley
164,Maragogi,BR,76.71,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
166,Port Hedland,AU,89.6,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
167,Lorengau,PG,84.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
169,French Harbor,HN,80.6,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
170,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
172,Cidreira,BR,66.92,clear sky,-30.1811,-50.2056,Hotel Castelo
174,Iralaya,HN,78.37,clear sky,15.0,-83.2333,Iglesia morava renovada
175,Jaciara,BR,72.68,overcast clouds,-15.9653,-54.9683,Taba Hotel
176,Pisco,PE,69.8,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
177,Venezuela,VE,80.31,overcast clouds,8.0,-66.0,
183,Flinders,AU,82.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
185,Bara,NG,68.99,overcast clouds,10.3744,10.7288,
186,Victoria,HK,77.0,clear sky,22.2855,114.1577,Mini Hotel Central
189,Meulaboh,ID,83.5,broken clouds,4.1363,96.1285,Kost Pria
192,Bom Jesus,BR,71.15,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
193,Kokoda,PG,85.12,overcast clouds,-8.8785,147.7407,Daito Guest House
194,Dumai,ID,87.06,overcast clouds,1.6833,101.45,Grand Zuri Dumai
196,Sinnamary,GF,77.13,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
201,Tabatinga,BR,77.0,light rain,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
202,Caravelas,BR,77.45,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
203,Port Lincoln,AU,65.23,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
206,Junagarh,IN,67.73,scattered clouds,19.8667,82.9333,Hotel Swagat
207,Tual,ID,83.64,moderate rain,-5.6667,132.75,Grand Vilia Hotel
208,Saint-Joseph,RE,80.6,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
209,Matara,LK,81.79,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
210,Mana,GF,76.6,overcast clouds,5.6592,-53.7767,LE SAMANA
214,Soyo,AO,79.52,overcast clouds,-6.1349,12.3689,Hotel Mpampa
220,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
223,Kintampo,GH,75.2,few clouds,8.0563,-1.7306,Adomaa Memorial Hotel
225,Tura,IN,65.66,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
226,Mareeba,AU,91.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
227,Dunedin,NZ,66.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
228,Sal Rei,CV,66.2,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
231,Noumea,NC,86.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
233,De Aar,ZA,70.95,clear sky,-30.6497,24.0123,Stoneburgh B&B
240,Lucapa,AO,66.88,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
241,Kasongo-Lunda,CD,71.83,overcast clouds,-6.4667,16.8167,
246,Biak,ID,84.09,overcast clouds,-0.9131,122.8766,Penginapan Kim
247,Nanakuli,US,78.01,clear sky,21.3906,-158.1547,Camp Pālehua
251,Arani,IN,71.74,clear sky,12.6667,79.2833,KPK LODGE
252,Saint-Leu,RE,80.01,scattered clouds,-21.15,55.2833,La Caz Oceane
258,Salto,UY,71.46,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
259,Christchurch,NZ,68.0,clear sky,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
264,Palasa,IN,75.38,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
265,Carupano,VE,74.68,overcast clouds,10.6678,-63.2585,Hotel La dorada
270,Takoradi,GH,79.18,clear sky,4.8845,-1.7554,Raybow International Hotel
271,Macatuba,BR,69.01,clear sky,-22.5022,-48.7114,Recanto Hotel e Restaurante
272,Inhambane,MZ,75.94,overcast clouds,-23.865,35.3833,Oceano
275,Kouango,CF,67.05,clear sky,4.9934,19.9619,
276,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
278,Porto Belo,BR,69.8,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
281,Mayumba,GA,79.63,light rain,-3.432,10.6554,LIKWALE LODGE
282,Aripuana,BR,71.98,overcast clouds,-9.1667,-60.6333,
284,Faanui,PF,82.71,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
286,Richards Bay,ZA,72.46,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
287,Mahibadhoo,MV,81.19,scattered clouds,3.7833,72.9667,Omadhoo Inn
288,Yeppoon,AU,96.8,broken clouds,-23.1333,150.7333,Villa Mar Colina
290,Puerto Escondido,MX,76.87,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
292,Sola,VU,87.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
293,Sur,OM,67.62,clear sky,22.5667,59.5289,Sur Plaza Hotel
296,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
303,Mendi,PG,68.4,overcast clouds,-6.1761,143.6513,Kiburu Lodge
