City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Eyl,SO,7.9803,49.8164,75.24,80,16,13.38,few clouds
1,Saint-Augustin,CA,51.226,-58.6502,28.67,96,99,23.51,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,78.42,71,87,10.58,overcast clouds
3,Kajaani,FI,64.2273,27.7285,14.0,85,90,8.05,overcast clouds
4,Ribeira Grande,PT,38.5167,-28.7,61.23,89,94,21.97,overcast clouds
5,Mezhdurechensk,RU,53.6942,88.0603,28.94,95,44,4.43,scattered clouds
6,Banda Aceh,ID,5.5577,95.3222,85.19,66,26,11.07,scattered clouds
7,Hithadhoo,MV,-0.6,73.0833,81.61,74,33,12.12,scattered clouds
8,Akyab,MM,20.15,92.9,74.55,38,0,6.69,clear sky
9,Bethel,US,41.3712,-73.414,33.01,68,1,3.78,clear sky
10,Ushuaia,AR,-54.8,-68.3,48.2,76,75,12.66,broken clouds
11,Bredasdorp,ZA,-34.5322,20.0403,64.4,94,98,2.3,light rain
12,Bluff,NZ,-46.6,168.3333,61.09,77,0,11.18,clear sky
13,Norman Wells,CA,65.282,-126.8329,-29.2,75,75,3.44,broken clouds
14,Qaanaaq,GL,77.484,-69.3632,12.47,91,100,5.66,light snow
15,Hilo,US,19.7297,-155.09,75.2,60,90,5.75,overcast clouds
16,Pouebo,NC,-20.4,164.5667,82.45,62,46,4.29,scattered clouds
17,Albany,US,42.6001,-73.9662,23.0,50,15,2.21,few clouds
18,Kavieng,PG,-2.5744,150.7967,84.99,64,30,3.74,scattered clouds
19,Sao Joao Do Piaui,BR,-8.3581,-42.2467,73.27,83,100,2.39,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,77.86,48,21,3.85,few clouds
21,Esperance,AU,-33.8667,121.9,60.8,94,90,12.66,light rain
22,Punta Arenas,CL,-53.15,-70.9167,48.2,76,0,11.5,clear sky
23,Busselton,AU,-33.65,115.3333,61.0,94,100,3.0,light rain
24,East London,ZA,-33.0153,27.9116,66.2,94,20,11.5,few clouds
25,Saskylakh,RU,71.9167,114.0833,-42.25,78,22,7.87,few clouds
26,Thompson,CA,55.7435,-97.8558,-29.2,62,40,11.5,snow
27,Bathsheba,BB,13.2167,-59.5167,77.0,73,40,20.71,scattered clouds
28,Guanica,PR,17.9716,-66.908,72.0,80,100,5.48,overcast clouds
29,Atuona,PF,-9.8,-139.0333,79.83,80,86,21.9,overcast clouds
30,Pangody,RU,65.85,74.4859,-15.34,88,100,16.69,overcast clouds
31,Savona,IT,44.3,8.2667,54.0,99,100,3.09,light rain
32,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,90,21.85,snow
33,Provideniya,RU,64.3833,-173.3,-2.43,86,1,8.88,clear sky
34,Acworth,US,34.0659,-84.6769,36.0,93,90,10.36,overcast clouds
35,Benguela,AO,-12.5763,13.4055,72.41,83,96,1.52,overcast clouds
36,Jamestown,US,42.097,-79.2353,15.8,53,1,6.91,clear sky
37,Marabba,SD,12.35,32.1833,58.93,35,61,10.51,broken clouds
38,Tuatapere,NZ,-46.1333,167.6833,67.32,57,5,7.36,clear sky
39,Nikolskoye,RU,59.7035,30.7861,10.4,79,75,15.66,snow
40,Burns Lake,CA,54.2331,-125.7533,12.2,85,100,4.61,light snow
41,Riyadh,SA,24.6877,46.7219,55.4,71,0,8.05,clear sky
42,Port Alfred,ZA,-33.5906,26.891,68.0,84,37,3.0,scattered clouds
43,Tazovskiy,RU,67.4667,78.7,-23.21,85,82,11.65,broken clouds
44,Basoko,CD,1.2391,23.616,70.66,65,95,2.24,overcast clouds
45,Luderitz,NA,-26.6481,15.1594,67.05,74,0,25.97,clear sky
46,Cap Malheureux,MU,-19.9842,57.6142,80.01,82,1,3.0,clear sky
47,Bilma,NE,18.6853,12.9164,58.64,30,4,5.61,clear sky
48,Havoysund,NO,70.9963,24.6622,27.28,93,100,23.13,light snow
49,Mgachi,RU,51.05,142.2667,2.91,92,100,8.01,overcast clouds
