City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bejar,ES,2021-02-04 12:20:54,40.3864,-5.7634,46.0,10,100,2.77
1,Hobart,AU,2021-02-04 12:15:22,-42.8794,147.3294,68.0,64,0,8.05
2,Mataura,NZ,2021-02-04 12:15:09,-46.1927,168.8643,44.78,82,7,3.74
3,Upernavik,GL,2021-02-04 12:14:45,72.7868,-56.1549,-11.13,70,61,3.2
4,Jamui,IN,2021-02-04 12:20:54,24.9167,86.2167,71.33,33,0,6.4
5,Atuona,PF,2021-02-04 12:15:18,-9.8,-139.0333,77.4,74,2,9.82
6,Salalah,OM,2021-02-04 12:13:14,17.0151,54.0924,77.0,57,0,8.05
7,Dikson,RU,2021-02-04 12:13:29,73.5069,80.5464,-10.12,92,100,12.44
8,Avarua,CK,2021-02-04 12:15:16,-21.2078,-159.775,78.8,83,20,3.44
9,Vila Franca Do Campo,PT,2021-02-04 12:15:37,37.7167,-25.4333,53.6,62,20,21.85
10,Bluff,NZ,2021-02-04 12:15:08,-46.6,168.3333,49.19,77,15,13.42
11,Borovskoy,KZ,2021-02-04 12:20:55,53.8,64.15,28.58,99,95,7.56
12,Talnakh,RU,2021-02-04 12:16:17,69.4865,88.3972,-20.72,86,96,1.7
13,Khandyga,RU,2021-02-04 12:20:56,62.6667,135.6,-49.16,75,47,0.89
14,Ola,RU,2021-02-04 12:20:56,59.5833,151.2833,-6.36,84,48,12.24
15,Rikitea,PF,2021-02-04 12:15:09,-23.1203,-134.9692,77.68,70,70,12.62
16,Clyde River,CA,2021-02-04 12:14:40,70.4692,-68.5914,-25.6,75,90,4.61
17,Sobolevo,RU,2021-02-04 12:20:56,54.4299,31.8996,23.5,98,100,16.17
18,Grindavik,IS,2021-02-04 12:15:14,63.8424,-22.4338,37.4,81,90,25.32
19,Kupang,ID,2021-02-04 12:20:56,-10.1667,123.5833,77.0,100,75,6.91
20,Aykhal,RU,2021-02-04 12:16:51,66.0,111.5,-26.16,83,100,8.55
21,Busselton,AU,2021-02-04 12:15:13,-33.65,115.3333,62.01,57,0,1.99
22,Arraial Do Cabo,BR,2021-02-04 12:15:25,-22.9661,-42.0278,84.2,61,0,17.27
23,Kapaa,US,2021-02-04 12:15:26,22.0752,-159.319,63.0,72,90,15.59
24,Zhuhai,CN,2021-02-04 12:20:57,22.2769,113.5678,71.01,82,0,13.8
25,Broome,US,2021-02-04 12:15:12,42.2506,-75.833,26.01,79,90,13.8
26,Albany,US,2021-02-04 12:15:23,42.6001,-73.9662,24.8,74,75,6.91
